"","TCGA-GD-A3OP-11A-11R-A220-07","TCGA-BT-A20U-01A-11R-A14Y-07","TCGA-GD-A3OQ-11A-21R-A220-07","TCGA-BL-A13J-01A-11R-A277-07","TCGA-K4-A5RI-11A-11R-A28M-07","TCGA-GC-A6I3-01A-11R-A31N-07","TCGA-BL-A13J-01B-04R-A277-07","TCGA-K4-A54R-01A-11R-A26T-07","TCGA-BT-A20Q-01A-11R-A14Y-07","TCGA-BT-A20N-01A-11R-A14Y-07","TCGA-K4-A3WV-11A-21R-A22U-07","TCGA-BT-A2LA-01A-11R-A18C-07","TCGA-BT-A20R-11A-11R-A16R-07","TCGA-GC-A3BM-01A-11R-A22U-07","TCGA-BT-A2LA-11A-11R-A18C-07","TCGA-BT-A20W-11A-11R-A14Y-07","TCGA-BL-A13J-01A-11R-A10U-07","TCGA-BT-A20W-01A-21R-A14Y-07","TCGA-GD-A3OQ-01A-32R-A220-07","TCGA-BT-A20Q-11A-11R-A14Y-07","TCGA-BT-A20R-01A-12R-A16R-07","TCGA-CU-A0YR-01A-12R-A10U-07","TCGA-BT-A2LB-11A-11R-A18C-07","TCGA-GC-A6I3-11A-11R-A31N-07","TCGA-BT-A20U-11A-11R-A14Y-07","TCGA-K4-A5RI-01A-11R-A28M-07","TCGA-GC-A3WC-01A-31R-A22U-07","TCGA-GD-A2C5-11A-11R-A180-07","TCGA-CU-A0YN-01A-21R-A10U-07","TCGA-GC-A3BM-11A-11R-A22U-07","TCGA-CU-A0YN-11A-11R-A10U-07","TCGA-GD-A3OP-01A-21R-A220-07","TCGA-K4-A54R-11A-11R-A26T-07","TCGA-BT-A2LB-01A-11R-A18C-07","TCGA-GC-A3WC-11A-11R-A22U-07","TCGA-GD-A2C5-01A-12R-A180-07","TCGA-BT-A20N-11A-11R-A14Y-07","TCGA-K4-A3WV-01A-11R-A22U-07","TCGA-CU-A0YR-11A-13R-A10U-07","TCGA-BL-A13J-11A-13R-A10U-07"
"L1HS_intergenic_1__103922066_103925398",0,0,0,0.00210556,0,0,0,0,0,0,0,0.00377073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0762095,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__104035269_104035972",0,0,0,0.00945514,0,0,0,0,0,0,0,0.0610153,0,0,0,0.049298,0,0,0.0259308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431318,0,0
"L1HS_intergenic_1__104035973_104036669",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__104770248_104776278",0,0.0093343,0.00359069,0.00247202,0.00307222,0,0,0,0,0.0139959,0,0.0176234,0,0.00402799,0,0,0,0,0,0,0.00558675,0,0,0,0,0,0,0,0,0.00491869,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__104843834_104849864",0,0.00634872,0,0.00203457,0,0.404474,0.0039561,0,0.00365252,0.00541965,0,0.0178637,0,0,0,0.00616371,0.0059545,0.00517546,0,0,0.00579421,0,0.00254503,0,0,0.00409529,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__105819683_105821063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__106425638_106426323",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__106996416_106997356",0,0,0,0,0,0,0.0105827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__106997360_106998225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_1__108578638_108579660",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00865912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__113341608_113345790",0,0,0,0.00168328,0,0.0767963,0.00414234,0,0,0,0,0,0.11363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_1__113497221_113500000",0,0,0,0,0.00375069,0,0.158407,0,0,0.059448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144945,0,0,0
"L1HS_intron_1__113500001_113503257",0,0,0,0.155412,0,0.0205189,0,0,0,0,0,0,0,0.00772422,0.00519356,0.00450481,0,0,0.00214909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159732,0,0.00562944,0,0,0,0
"L1HS_intergenic_1__116717925_116719731",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_1__118852352_118858380",0.00381667,0.315223,0,0.00960576,0,0.012248,0,0,0,0.0376984,0.00347742,0.0142607,0,0.0453481,0,0.0134838,3.11609e-06,0.0236659,0,0,0.00403554,0,0.00266787,0,0,0.0279861,0.00325437,0,0,0.000269283,0,0.0039109,0.0358258,0.0190098,0,0.00268269,0,0,0,0
"L1HS_intron_1__121532231_121538261",0,0.00272323,0,0.0115472,0,0.0253234,0.00640139,0,0,0,0,0,0,0,0,0.0081085,0,0,0,0,0,0,0,0,0.00973852,0,0.0102715,0.0882212,0,0,0,0,0,0,0.00317251,0.180554,0,0,0,0
